timestamp,student_id,ai_tool_used,usage_hours_per_week,purpose,satisfaction_level,academic_performance,comments
2026-03-14 06:00:00,241103210,gemini,1,study,5,83,Good for brainstorming ideas
2026-03-14 16:00:00,241103211,chatgpt,5,study,3,85,Helpful but sometimes inaccurate
2026-03-14 13:00:00,241103212,chatgpt,10,research,3,94,Good for brainstorming ideas
2026-03-14 00:00:00,241103213,copilot,14,coding,4,73,Great tool for coding tasks
2026-03-14 07:00:00,241103214,deepseek,6,study,4,69,Great tool for coding tasks
2026-03-14 13:00:00,241103215,claude,10,study,3,67,Saves time while studying
2026-03-14 19:00:00,241103216,deepseek,11,research,4,80,Good for quick explanations
2026-03-14 08:00:00,241103217,copilot,2,writing,4,81,Great tool for coding tasks
2026-03-14 18:00:00,241103218,claude,5,coding,5,77,Great tool for coding tasks
2026-03-14 22:00:00,241103219,deepseek,12,study,3,61,Very effective for assignments
2026-03-14 00:00:00,241103220,gemini,14,study,5,78,Useful for research and learning
2026-03-14 12:00:00,241103221,claude,13,writing,3,65,Helpful but sometimes inaccurate
2026-03-14 16:00:00,241103222,copilot,14,study,5,81,Good for quick explanations
2026-03-14 16:00:00,241103223,deepseek,9,coding,5,86,Great tool for coding tasks
2026-03-14 00:00:00,241103224,claude,9,study,4,88,Useful for research and learning
2026-03-14 22:00:00,241103225,deepseek,10,study,3,68,Saves time while studying
2026-03-14 18:00:00,241103226,chatgpt,14,research,3,66,Helpful but sometimes inaccurate
2026-03-14 11:00:00,241103227,claude,7,research,5,68,Very helpful for studying
2026-03-14 16:00:00,241103228,claude,10,study,4,63,Good for brainstorming ideas
2026-03-14 17:00:00,241103229,copilot,7,study,4,95,Useful for research and learning
2026-03-14 18:00:00,241103230,chatgpt,14,coding,3,91,Good for quick explanations
2026-03-14 01:00:00,241103231,copilot,13,study,3,93,Good for quick explanations
2026-03-14 14:00:00,241103232,claude,11,writing,4,79,Helps me understand difficult topics
2026-03-15 00:00:00,241103233,copilot,4,coding,3,80,Good for quick explanations
2026-03-14 12:00:00,241103234,deepseek,13,research,4,76,Good for quick explanations
2026-03-14 22:00:00,241103235,copilot,7,research,3,68,Useful for research and learning
2026-03-14 03:00:00,241103236,deepseek,2,writing,4,62,Great tool for coding tasks
2026-03-14 17:00:00,241103237,copilot,4,writing,3,69,Good for quick explanations
2026-03-14 15:00:00,241103238,copilot,3,coding,3,88,Very helpful for studying
2026-03-14 09:00:00,241103239,chatgpt,1,coding,5,61,Saves time while studying
2026-03-14 19:00:00,241103240,chatgpt,6,study,5,62,Helpful but sometimes inaccurate
2026-03-14 14:00:00,241103241,claude,6,study,3,93,Very helpful for studying
2026-03-14 10:00:00,241103242,gemini,14,writing,5,94,Saves time while studying
2026-03-14 10:00:00,241103243,chatgpt,14,writing,5,82,Makes studying easier
2026-03-14 03:00:00,241103244,claude,11,writing,4,83,Helps me understand difficult topics
2026-03-14 13:00:00,241103245,gemini,1,writing,3,72,Helpful but sometimes inaccurate
2026-03-14 18:00:00,241103246,chatgpt,12,study,5,88,Saves time while studying
2026-03-14 00:00:00,241103247,deepseek,10,study,4,93,Useful for research and learning
2026-03-14 11:00:00,241103248,claude,4,research,3,61,Saves time while studying
2026-03-14 07:00:00,241103249,gemini,4,study,4,92,Helpful but sometimes inaccurate
2026-03-15 00:00:00,241103250,claude,9,research,4,66,Useful for research and learning
2026-03-14 10:00:00,241103251,chatgpt,14,study,5,83,Helps me understand difficult topics
2026-03-14 04:00:00,241103252,claude,2,study,4,71,Very helpful for studying
2026-03-14 23:00:00,241103253,chatgpt,2,study,3,70,Good for brainstorming ideas
2026-03-15 00:00:00,241103254,claude,12,writing,4,76,Good for quick explanations
2026-03-14 11:00:00,241103255,claude,4,study,5,85,Very effective for assignments
2026-03-14 07:00:00,241103256,copilot,3,writing,3,75,Helps me understand difficult topics
2026-03-14 18:00:00,241103257,chatgpt,11,research,4,71,Very effective for assignments
2026-03-14 07:00:00,241103258,copilot,5,study,5,60,Good for quick explanations
2026-03-14 18:00:00,241103259,gemini,2,writing,5,61,Very effective for assignments
2026-03-14 11:00:00,241103260,claude,8,writing,4,83,Saves time while studying
2026-03-14 00:00:00,241103261,chatgpt,12,writing,4,78,Helpful but sometimes inaccurate
2026-03-14 00:00:00,241103262,gemini,12,research,3,92,Helpful but sometimes inaccurate
2026-03-14 00:00:00,241103263,claude,8,coding,3,71,Useful for research and learning
2026-03-14 12:00:00,241103264,claude,3,research,3,63,Helps me understand difficult topics
2026-03-14 21:00:00,241103265,gemini,3,research,5,77,Helpful but sometimes inaccurate
